name,description,price,stock,images,category_id,likes,ordered,featured,created_at,updated_at
Classic Cotton T-Shirt,"Premium cotton t-shirt with comfortable fit and stylish design",29.99,50,"[""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440001",24,12,true,2024-01-15,2024-01-15
Vintage Style T-Shirt,"Retro-inspired t-shirt with distressed look and comfortable fabric",34.99,35,"[""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440001",18,8,false,2024-01-10,2024-01-10
Graphic Print T-Shirt,"Eye-catching graphic t-shirt with bold artwork and vibrant colors",39.99,25,"[""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440001",32,25,true,2024-01-20,2024-01-20
Premium Cotton Hoodie,"Soft and warm hoodie perfect for casual wear and outdoor activities",59.99,30,"[""https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440002",45,18,false,2024-01-25,2024-01-25
Zip-Up Hoodie,"Versatile zip-up hoodie with modern design and comfortable fit",64.99,20,"[""https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440002",28,15,true,2024-02-01,2024-02-01
Pullover Hoodie,"Classic pullover hoodie with kangaroo pocket and adjustable drawstring",54.99,40,"[""https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440002",15,22,false,2024-02-05,2024-02-05
Leather Crossbody Bag,"Stylish leather crossbody bag with adjustable strap and multiple compartments",89.99,15,"[""https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440003",38,30,false,2024-02-10,2024-02-10
Baseball Cap,"Classic baseball cap with embroidered logo and adjustable fit",24.99,60,"[""https://images.unsplash.com/photo-1521369909029-2afed882baee?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440003",22,12,false,2024-02-15,2024-02-15
Canvas Tote Bag,"Eco-friendly canvas tote bag perfect for shopping and daily use",34.99,25,"[""https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440003",41,19,true,2024-02-20,2024-02-20
Slim Fit T-Shirt,"Modern slim fit t-shirt with stretch fabric and contemporary styling",44.99,30,"[""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440001",19,8,false,2024-02-25,2024-02-25
Fleece Lined Hoodie,"Warm fleece-lined hoodie perfect for cold weather and outdoor activities",79.99,18,"[""https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440002",35,16,false,2024-03-01,2024-03-01
Backpack,"Durable backpack with laptop compartment and water bottle holder",69.99,22,"[""https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440003",29,11,true,2024-03-05,2024-03-05
Long Sleeve T-Shirt,"Comfortable long sleeve t-shirt with ribbed cuffs and collar",49.99,28,"[""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440001",52,7,true,2024-03-10,2024-03-10
Beanie Hat,"Warm and stylish beanie hat perfect for winter weather",19.99,45,"[""https://images.unsplash.com/photo-1521369909029-2afed882baee?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440003",26,9,false,2024-03-15,2024-03-15
Crew Neck T-Shirt,"Classic crew neck t-shirt with soft cotton fabric and relaxed fit",27.99,55,"[""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440001",31,20,false,2024-03-20,2024-03-20
V-Neck T-Shirt,"Elegant v-neck t-shirt with flattering cut and comfortable material",32.99,40,"[""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440001",33,14,false,2024-03-25,2024-03-25
Messenger Bag,"Professional messenger bag with laptop protection and organization",94.99,12,"[""https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440003",21,10,false,2024-04-01,2024-04-01
Bucket Hat,"Trendy bucket hat with wide brim and adjustable fit",22.99,35,"[""https://images.unsplash.com/photo-1521369909029-2afed882baee?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440003",27,18,false,2024-04-05,2024-04-05
Polo T-Shirt,"Classic polo t-shirt with collar and button placket for smart casual look",54.99,25,"[""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440001",18,25,false,2024-04-10,2024-04-10
Sweatshirt,"Comfortable sweatshirt with ribbed cuffs and hem for casual wear",49.99,30,"[""https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800&h=800&fit=crop"",""https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=800&h=800&fit=crop""]","550e8400-e29b-41d4-a716-446655440002",24,6,true,2024-04-15,2024-04-15 